    Time,sec      Abs(UY,mm)      Abs(UZ,mm)   Phase(UY,deg)   Phase(UZ,deg)       Freqz(Hz)=189.16       Freqy(Hz)=189.16
    0.006400        0.006306        0.006306       26.004625          -64.00       31.28        1.54
    0.006450        0.006332        0.006332       26.238204          -63.76       31.42        1.54
    0.006500        0.006358        0.006358       26.472232          -63.53       31.56        1.54
    0.006550        0.006384        0.006384       26.706708          -63.29       31.70        1.55
    0.006600        0.006409        0.006409       26.941633          -63.06       31.83        1.55
    0.006650        0.006434        0.006434       27.177007          -62.82       31.97        1.55
    0.006700        0.006458        0.006458       27.412830          -62.59       32.10        1.55
    0.006750        0.006483        0.006483       27.649102          -62.35       32.23        1.55
    0.006800        0.006507        0.006507       27.885823          -62.11       32.36        1.55
    0.006850        0.006531        0.006531       28.122994          -61.88       32.49        1.55
    0.006900        0.006555        0.006555       28.360615          -61.64       32.62        1.55
    0.006950        0.006578        0.006578       28.598685          -61.40       32.74        1.55
    0.007000        0.006601        0.006601       28.837205          -61.16       32.87        1.55
    0.007050        0.006624        0.006624       29.076176          -60.92       32.99        1.55
    0.007100        0.006646        0.006646       29.315596          -60.68       33.12        1.55
    0.007150        0.006669        0.006669       29.555466          -60.44       33.24        1.55
    0.007200        0.006691        0.006691       29.795787          -60.20       33.36        1.55
    0.007250        0.006713        0.006713       30.036558          -59.96       33.47        1.55
    0.007300        0.006734        0.006734       30.277780          -59.72       33.59        1.55
    0.007350        0.006755        0.006755       30.519452          -59.48       33.71        1.55
    0.007400        0.006776        0.006776       30.761575          -59.24       33.82        1.55
    0.007450        0.006797        0.006797       31.004148          -59.00       33.94        1.55
    0.007500        0.006818        0.006818       31.247172          -58.75       34.05        1.55
    0.007550        0.006838        0.006838       31.490647          -58.51       34.16        1.55
    0.007600        0.006858        0.006858       31.734573          -58.27       34.27        1.55
    0.007650        0.006878        0.006878       31.978950          -58.02       34.38        1.55
    0.007700        0.006898        0.006898       32.223777          -57.78       34.48        1.55
    0.007750        0.006917        0.006917       32.469055          -57.53       34.59        1.55
