    Freq(Hz)    Mag(0,0)  Phase(0,0)    Freq(Hz)    Mag(0,1)  Phase(0,1)    Freq(Hz)    Mag(0,2)  Phase(0,2)    Freq(Hz)    Mag(1,0)  Phase(1,0)    Freq(Hz)    Mag(1,1)  Phase(1,1)    Freq(Hz)    Mag(1,2)  Phase(1,2)    Freq(Hz)    Mag(2,0)  Phase(2,0)    Freq(Hz)    Mag(2,1)  Phase(2,1)    Freq(Hz)    Mag(2,2)  Phase(2,2)
       47.00      0.0073      -90.00       47.00      0.0001       90.00       47.00      0.0001       90.00       47.00      0.0001       90.00       47.00      0.0035      -90.00       47.00      0.0000       90.00       47.00      0.0001       90.00       47.00      0.0000       90.00       47.00      0.0023      -90.00
       48.00      0.0071      -90.00       48.00      0.0001       90.00       48.00      0.0001       90.00       48.00      0.0001       90.00       48.00      0.0034      -90.00       48.00      0.0000       90.00       48.00      0.0001       90.00       48.00      0.0000       90.00       48.00      0.0023      -90.00
       49.00      0.0069      -90.00       49.00      0.0001       90.00       49.00      0.0000       90.00       49.00      0.0001       90.00       49.00      0.0034      -90.00       49.00      0.0000       90.00       49.00      0.0000       90.00       49.00      0.0000       90.00       49.00      0.0022      -90.00
       50.00      0.0068      -90.00       50.00      0.0001       90.00       50.00      0.0000       90.00       50.00      0.0001       90.00       50.00      0.0033      -90.00       50.00      0.0000       90.00       50.00      0.0000       90.00       50.00      0.0000       90.00       50.00      0.0022      -90.00
       51.00      0.0066      -90.00       51.00      0.0001       90.00       51.00      0.0000       90.00       51.00      0.0001       90.00       51.00      0.0032      -90.00       51.00      0.0000       90.00       51.00      0.0000       90.00       51.00      0.0000       90.00       51.00      0.0021      -90.00
       52.00      0.0065      -90.00       52.00      0.0001       90.00       52.00      0.0000       90.00       52.00      0.0001       90.00       52.00      0.0031      -90.00       52.00      0.0000       90.00       52.00      0.0000       90.00       52.00      0.0000       90.00       52.00      0.0021      -90.00
       53.00      0.0064      -90.00       53.00      0.0001       90.00       53.00      0.0000       90.00       53.00      0.0001       90.00       53.00      0.0031      -90.00       53.00      0.0000       90.00       53.00      0.0000       90.00       53.00      0.0000       90.00       53.00      0.0020      -90.00
       54.00      0.0062      -90.00       54.00      0.0001       90.00       54.00      0.0000       90.00       54.00      0.0001       90.00       54.00      0.0030      -90.00       54.00      0.0000       90.00       54.00      0.0000       90.00       54.00      0.0000       90.00       54.00      0.0020      -90.00
       55.00      0.0061      -90.00       55.00      0.0001       90.00       55.00      0.0000       90.00       55.00      0.0001       90.00       55.00      0.0030      -90.00       55.00      0.0000       90.00       55.00      0.0000       90.00       55.00      0.0000       90.00       55.00      0.0020      -90.00
       56.00      0.0060      -90.00       56.00      0.0000       90.00       56.00      0.0000       90.00       56.00      0.0000       90.00       56.00      0.0029      -90.00       56.00      0.0000       90.00       56.00      0.0000       90.00       56.00      0.0000       90.00       56.00      0.0019      -90.00
       57.00      0.0059      -90.00       57.00      0.0000       90.00       57.00      0.0000       90.00       57.00      0.0000       90.00       57.00      0.0029      -90.00       57.00      0.0000       90.00       57.00      0.0000       90.00       57.00      0.0000       90.00       57.00      0.0019      -90.00
       58.00      0.0057      -90.00       58.00      0.0000       90.00       58.00      0.0000       90.00       58.00      0.0000       90.00       58.00      0.0028      -90.00       58.00      0.0000       90.00       58.00      0.0000       90.00       58.00      0.0000       90.00       58.00      0.0019      -90.00
       59.00      0.0056      -90.00       59.00      0.0000       90.00       59.00      0.0000       90.00       59.00      0.0000       90.00       59.00      0.0028      -90.00       59.00      0.0000       90.00       59.00      0.0000       90.00       59.00      0.0000       90.00       59.00      0.0018      -90.00
       60.00      0.0055      -90.00       60.00      0.0000       90.00       60.00      0.0000       90.00       60.00      0.0000       90.00       60.00      0.0027      -90.00       60.00      0.0000       90.00       60.00      0.0000       90.00       60.00      0.0000       90.00       60.00      0.0018      -90.00
       61.00      0.0054      -90.00       61.00      0.0000       90.00       61.00      0.0000       90.00       61.00      0.0000       90.00       61.00      0.0027      -90.00       61.00      0.0000       90.00       61.00      0.0000       90.00       61.00      0.0000       90.00       61.00      0.0018      -90.00
       62.00      0.0053      -90.00       62.00      0.0000       90.00       62.00      0.0000       90.00       62.00      0.0000       90.00       62.00      0.0026      -90.00       62.00      0.0000       90.00       62.00      0.0000       90.00       62.00      0.0000       90.00       62.00      0.0017      -90.00
