    Freq(Hz)    Mag(0,0)  Phase(0,0)    Freq(Hz)    Mag(0,1)  Phase(0,1)    Freq(Hz)    Mag(0,2)  Phase(0,2)    Freq(Hz)    Mag(1,0)  Phase(1,0)    Freq(Hz)    Mag(1,1)  Phase(1,1)    Freq(Hz)    Mag(1,2)  Phase(1,2)    Freq(Hz)    Mag(2,0)  Phase(2,0)    Freq(Hz)    Mag(2,1)  Phase(2,1)    Freq(Hz)    Mag(2,2)  Phase(2,2)
       60.00      0.0000     -180.00       60.00      0.0000        0.00       60.00      0.0000        0.00       60.00      0.0000        0.00       60.00      0.0000     -180.00       60.00      0.0000        0.00       60.00      0.0000        0.00       60.00      0.0000        0.00       60.00      0.0000     -180.00
       61.00      0.0000     -180.00       61.00      0.0000        0.00       61.00      0.0000        0.00       61.00      0.0000        0.00       61.00      0.0000     -180.00       61.00      0.0000        0.00       61.00      0.0000        0.00       61.00      0.0000        0.00       61.00      0.0000     -180.00
       62.00      0.0000     -180.00       62.00      0.0000        0.00       62.00      0.0000        0.00       62.00      0.0000        0.00       62.00      0.0000     -180.00       62.00      0.0000        0.00       62.00      0.0000        0.00       62.00      0.0000        0.00       62.00      0.0000     -180.00
       63.00      0.0000     -180.00       63.00      0.0000        0.00       63.00      0.0000        0.00       63.00      0.0000        0.00       63.00      0.0000     -180.00       63.00      0.0000        0.00       63.00      0.0000        0.00       63.00      0.0000        0.00       63.00      0.0000     -180.00
       64.00      0.0000     -180.00       64.00      0.0000        0.00       64.00      0.0000        0.00       64.00      0.0000        0.00       64.00      0.0000     -180.00       64.00      0.0000        0.00       64.00      0.0000        0.00       64.00      0.0000        0.00       64.00      0.0000     -180.00
       65.00      0.0000     -180.00       65.00      0.0000        0.00       65.00      0.0000        0.00       65.00      0.0000        0.00       65.00      0.0000     -180.00       65.00      0.0000        0.00       65.00      0.0000        0.00       65.00      0.0000        0.00       65.00      0.0000     -180.00
       66.00      0.0000     -180.00       66.00      0.0000        0.00       66.00      0.0000        0.00       66.00      0.0000        0.00       66.00      0.0000     -180.00       66.00      0.0000        0.00       66.00      0.0000        0.00       66.00      0.0000        0.00       66.00      0.0000     -180.00
       67.00      0.0000     -180.00       67.00      0.0000        0.00       67.00      0.0000        0.00       67.00      0.0000        0.00       67.00      0.0000     -180.00       67.00      0.0000        0.00       67.00      0.0000        0.00       67.00      0.0000        0.00       67.00      0.0000     -180.00
       68.00      0.0000     -180.00       68.00      0.0000        0.00       68.00      0.0000        0.00       68.00      0.0000        0.00       68.00      0.0000     -180.00       68.00      0.0000        0.00       68.00      0.0000        0.00       68.00      0.0000        0.00       68.00      0.0000     -180.00
       69.00      0.0000     -180.00       69.00      0.0000        0.00       69.00      0.0000        0.00       69.00      0.0000        0.00       69.00      0.0000     -180.00       69.00      0.0000        0.00       69.00      0.0000        0.00       69.00      0.0000        0.00       69.00      0.0000     -180.00
       70.00      0.0000     -180.00       70.00      0.0000        0.00       70.00      0.0000        0.00       70.00      0.0000        0.00       70.00      0.0000     -180.00       70.00      0.0000        0.00       70.00      0.0000        0.00       70.00      0.0000        0.00       70.00      0.0000     -180.00
       71.00      0.0000     -180.00       71.00      0.0000        0.00       71.00      0.0000        0.00       71.00      0.0000        0.00       71.00      0.0000     -180.00       71.00      0.0000        0.00       71.00      0.0000        0.00       71.00      0.0000        0.00       71.00      0.0000     -180.00
