Frequency  Magnitude  Phase
     47.9292 2.80335e-06      -97.18
     48.0884 1.88324e-06       70.11
     48.2476  9.5215e-07      -65.80
     48.4069 6.17293e-07     -169.17
     48.5661 2.06054e-06     -176.57
     48.7253  3.2441e-06        8.63
     48.8846 2.10451e-06     -178.71
     49.0438  1.6046e-06      -38.99
     49.2030 2.13293e-06      112.52
     49.3623 1.90356e-06      -43.52
     49.5215 2.02105e-06     -162.14
     49.6807 8.07644e-07       50.34
     49.8400 9.45675e-07     -117.29
     49.9992 1.25581e-06       86.88
     50.1584 1.00125e-06      -14.88
     50.3177 1.23162e-06      -88.16
     50.4769 2.42792e-06      156.88
     50.6361 1.06889e-06      -18.38
     50.7954 5.25143e-07        8.28
     50.9546 7.14046e-07      -33.51
     51.1138 1.92198e-06      174.18
     51.2731 1.59746e-06       -2.33
     51.4323 1.31458e-06     -174.75
     51.5915 8.96087e-07      -15.95
     51.7508 8.41016e-07      154.56
     51.9100 3.29896e-07     -139.88
     52.0692 7.48954e-07      -68.42
     52.2285 9.76281e-07      -32.49
     52.3877 1.95818e-06      128.11
     52.5469  3.3372e-07      150.60
     52.7062 1.23465e-06      -71.82
     52.8654 4.89906e-07     -135.19
     53.0246 4.69522e-07       41.73
     53.1839 5.96053e-07       38.81
     53.3431 1.75001e-06     -132.58
     53.5023  6.1259e-07      149.22
     53.6616 1.03094e-06        3.58
     53.8208  1.3957e-06      160.27
     53.9800 2.04728e-06      -14.55
     54.1393 1.96011e-06     -157.53
     54.2985  2.3029e-06       81.40
     54.4577 3.59684e-06      -91.49
     54.6170 1.50958e-06      104.24
     54.7762 6.22607e-07     -112.71
     54.9354 1.95259e-06      108.14
     55.0947 2.70835e-06      -76.95
     55.2539 1.49385e-06      113.30
     55.4131 1.38337e-06      -74.78
     55.5724   5.993e-07       30.45
     55.7316 1.62863e-06      177.84
     55.8908 2.68105e-07      107.23
     56.0501 1.41371e-06      -41.51
     56.2093 1.95991e-06     -163.85
     56.3685 1.49389e-06        0.20
     56.5278 1.37905e-06     -174.27
     56.6870 8.35278e-07      139.55
     56.8462 7.99069e-07      -27.56
     57.0055 2.07875e-07     -177.50
     57.1647 2.47327e-06     -108.54
     57.3239 2.15548e-06       82.76
     57.4832  1.8216e-06      -95.26
     57.6424 1.25953e-06      150.22
     57.8016 4.56102e-07      -89.90
     57.9609  6.8545e-07      115.81
     58.1201 2.30733e-06      -81.39
     58.2793 1.54403e-06      152.91
     58.4386 1.64317e-06      -31.34
     58.5978 2.53229e-06      176.48
     58.7570 5.44353e-07     -147.27
     58.9163 1.10777e-06      -92.33
     59.0755 9.05179e-07       36.60
     59.2347  2.9312e-06     -142.73
     59.3940 7.22198e-07       65.33
     59.5532 1.38055e-06      -48.30
     59.7124 2.07139e-06     -152.82
     59.8717 7.88023e-07      113.96
     60.0309 3.05613e-06     -129.33
     60.1901 8.73204e-07       22.87
     60.3494 1.48797e-06     -162.06
     60.5086 1.28886e-06     -115.31
     60.6678  1.7986e-06     -116.01
     60.8271 4.57943e-07       81.66
     60.9863 4.20317e-06     -158.67
     61.1455 1.31159e-06      -18.34
     61.3048 2.01641e-06     -110.73
     61.4640 1.36422e-06     -151.10
     61.6232 2.97462e-06     -145.67
     61.7825 1.69935e-06      -81.40
     61.9417 3.12063e-06      165.46
     62.1009 3.37512e-06     -103.28
     62.2602  3.2613e-06     -150.86
     62.4194 1.90705e-06     -133.81
     62.5786 3.59944e-06     -116.70
     62.7379 3.18323e-06     -159.68
     62.8971 2.12703e-06     -117.42
     63.0563 5.21729e-06     -141.09
     63.2156 3.26573e-06     -145.45
     63.3748 7.00794e-06     -124.62
     63.5340 2.90582e-06     -147.58
     63.6933 5.10559e-06     -142.79
     63.8525 7.30414e-06     -131.26
     64.0117 8.34638e-06     -132.23
     64.1710 7.40974e-06     -140.44
     64.3302 9.68455e-06     -139.48
     64.4894 7.96451e-06     -138.86
     64.6487 1.31306e-05     -129.86
     64.8079 1.54246e-05     -138.18
     64.9671 1.43672e-05     -136.55
     65.1264 2.01031e-05     -134.11
     65.2856 2.18661e-05     -138.48
     65.4448 2.71685e-05     -135.44
     65.6041  3.0925e-05     -135.27
     65.7633  4.0891e-05     -137.14
     65.9225 4.92578e-05     -135.79
     66.0818 6.29906e-05     -134.99
     66.2410 8.04704e-05     -137.06
     66.4002 0.000107736     -135.49
     66.5594 0.000146395     -136.13
     66.7187 0.000206069     -136.47
     66.8779 0.000306354     -135.90
     67.0371 0.000480425     -135.97
     67.1964 0.000818519     -136.18
     67.3556  0.00157384     -136.00
     67.5148  0.00366546     -136.05
     67.6741   0.0124249     -136.06
     67.8333    0.158081     -136.06
     67.9925    0.479241       43.94
     68.1518    0.345085     -136.06
     68.3110   0.0321783       43.94
     68.4702  0.00639532       43.96
     68.6295  0.00234983       43.89
     68.7887  0.00112524       43.99
     68.9479 0.000621838       43.95
     69.1072 0.000382606       43.73
     69.2664 0.000250944       44.60
     69.4256 0.000173815       43.11
     69.5849 0.000124721       43.96
     69.7441  9.3362e-05       45.05
     69.9033 7.10142e-05       42.66
     70.0626 5.67371e-05       44.51
     70.2218  4.3946e-05       43.21
     70.3810 3.55135e-05       43.45
     70.5403  2.9553e-05       46.99
     70.6995 2.55105e-05       41.52
     70.8587 1.96488e-05       46.54
     71.0180 1.73353e-05       40.86
     71.1772 1.59787e-05       47.25
     71.3364 1.15048e-05       36.99
     71.4957 1.25579e-05       47.82
     71.6549  8.6726e-06       40.97
     71.8141 1.02502e-05       47.98
     71.9734 5.83248e-06       45.01
     72.1326 7.62067e-06       40.37
     72.2918 5.15029e-06       36.42
     72.4511 6.13205e-06       54.99
     72.6103  4.8798e-06       36.18
     72.7695 4.48485e-06       43.07
     72.9288 3.91031e-06       42.88
     73.0880 3.32597e-06       64.80
     73.2472 3.80498e-06       33.58
     73.4065 3.58627e-06       25.88
     73.5657 1.79197e-06       76.90
     73.7249 3.62615e-06       44.36
     73.8842 1.93205e-06       54.80
     74.0434 1.58148e-06       27.21
     74.2026 3.19765e-06       59.11
     74.3619 2.50171e-06      -21.48
     74.5211 2.48613e-06       95.95
     74.6803 2.47888e-06       27.44
     74.8396 1.89847e-06       31.11
     74.9988 7.08838e-07       76.98
     75.1580 1.10413e-06       94.37
     75.3173 2.52825e-06       31.19
     75.4765 5.16671e-07       -4.66
     75.6357 1.18206e-06       85.98
     75.7950 2.02835e-06       28.82
     75.9542 6.23796e-07     -178.97
     76.1134 2.23907e-06        3.18
     76.2727  1.1148e-06      110.45
     76.4319 2.35143e-06       49.22
     76.5911 1.73983e-06     -132.29
     76.7504 1.91891e-06       62.19
     76.9096 1.28991e-06        1.22
     77.0688 5.23974e-07       89.64
     77.2281 1.31827e-06       22.64
     77.3873 2.64884e-07      170.05
     77.5465 9.94676e-07       85.81
     77.7058 1.35695e-06      -32.81
     77.8650 2.00834e-06      159.58
     78.0242 3.77094e-06       16.79
     78.1835 3.63604e-07       22.35
     78.3427 2.03159e-06      177.42
     78.5019 1.03226e-06      -37.72
     78.6612 1.72651e-06       45.65
     78.8204 2.07568e-07       71.08
     78.9796 1.21077e-06      129.18
     79.1389 1.72116e-06      -68.34
     79.2981 1.85595e-06       54.41
     79.4573 1.67608e-06     -143.91
     79.6166 2.30993e-06       56.68
     79.7758 7.87756e-07      -54.73
     79.9350 6.57898e-07       25.57
     80.0943 1.18704e-06     -175.53
     80.2535 1.23697e-06       57.71
     80.4127 1.05548e-06      -64.53
     80.5720 1.52964e-07      165.89
     80.7312 1.04853e-06      106.81
     80.8904  1.9862e-06      -25.66
     81.0497 1.33221e-06      100.91
     81.2089 9.29274e-07     -177.52
     81.3681 8.90766e-07       47.57
     81.5274 1.86065e-06      -66.16
     81.6866  1.6804e-06      130.05
     81.8458  2.0482e-06       37.23
     82.0051 1.68791e-06     -115.94
     82.1643 8.01952e-07       91.71
     82.3235 9.16835e-07      -89.84
     82.4828 9.22724e-07       56.06
     82.6420 9.79446e-07      134.72
     82.8012 1.60824e-06      -41.42
     82.9605 1.41129e-06       65.19
     83.1197 8.91053e-07      169.37
     83.2789 7.51287e-07     -107.70
     83.4382 1.08008e-06       26.44
     83.5974 3.23751e-07     -171.42
     83.7566 1.54249e-06     -101.29
     83.9159 2.71991e-06       92.64
     84.0751 1.37216e-06      -58.60
     84.2343 4.71425e-07      161.59
     84.3936 1.31443e-06       14.21
     84.5528 9.23228e-07     -143.25
     84.7120 7.51658e-07       73.83
     84.8713 2.08894e-07     -114.19
     85.0305 1.15038e-06      117.88
     85.1897 1.48026e-06      -49.91
     85.3490 5.20908e-07      -54.07
     85.5082 9.73633e-07       59.45
     85.6674 1.12436e-06      171.79
     85.8267 2.50982e-07       35.17
     85.9859 4.56632e-07       52.08
     86.1451 8.56925e-07      -85.13
     86.3044 2.10175e-07     -113.94
     86.4636 1.04608e-06      125.88
     86.6228 1.38513e-06       19.96
     86.7821 1.44634e-06     -138.57
     86.9413 1.41499e-06       46.07
     87.1005 6.72522e-07      -90.74
     87.2598 6.18646e-07      179.07
     87.4190 1.32185e-06       16.58
     87.5782 9.92217e-07      150.01
     87.7375 1.10089e-06      -96.19
     87.8967 1.13252e-06       30.57
     88.0559 5.60108e-07      136.97
     88.2152 1.54537e-06     -130.77
     88.3744 1.56483e-06       35.65
     88.5336 1.04309e-06      107.79
     88.6929 1.03623e-06      -87.75
     88.8521 2.22949e-07      -79.37
     89.0113 4.01426e-07       79.01
     89.1706 2.63541e-07      157.58
     89.3298  4.3333e-07      -42.97
     89.4890 6.01282e-07      103.35
     89.6483 2.26684e-07     -114.45
     89.8075 1.32449e-06      -49.97
     89.9667 1.81528e-06      102.89
     90.1260 1.24104e-06     -114.27
     90.2852  1.2817e-06       42.45
     90.4444 4.14164e-07     -133.84
     90.6037 1.00607e-06     -125.95
     90.7629 1.40214e-06       81.92
     90.9221 7.43727e-07      -16.28
     91.0814 1.17049e-06     -148.66
     91.2406 1.15829e-06       -6.12
     91.3998 1.27135e-06      169.70
     91.5591 1.38743e-06      -10.00
     91.7183 1.35837e-06      106.40
     91.8775 1.34362e-06     -110.35
     92.0368 1.22697e-06       10.31
     92.1960 1.71651e-06      157.88
     92.3552 2.50376e-06      -27.27
     92.5145 3.10196e-06      151.16
     92.6737 2.45524e-06      -13.20
     92.8329  1.1928e-06      178.98
     92.9921 3.26023e-07     -107.83
     93.1514 1.36798e-06       37.63
     93.3106 1.74947e-06     -122.48
     93.4698 1.06083e-06      133.76
     93.6291 2.66139e-06        6.96
     93.7883  2.3104e-06      176.00
     93.9475 1.09276e-06      -10.13
     94.1068 1.13498e-06     -140.44
     94.2660 7.87371e-07      107.91
     94.4252 2.24021e-06       33.45
     94.5845 3.18246e-06     -104.30
     94.7437 2.43995e-06      105.79
     94.9029 1.01859e-06      -73.15
     95.0622 1.04562e-06       48.88
     95.2214 1.18658e-06     -145.17
     95.3806 5.78801e-07      176.61
     95.5399 2.20805e-06       18.24
     95.6991 1.18894e-06     -152.35
     95.8583 5.27147e-07       -0.20
     96.0176 7.58369e-07       83.96
     96.1768 1.27819e-06     -148.38
     96.3360 1.12265e-06       38.03
     96.4953 9.70746e-07      -93.40
     96.6545 1.61207e-06      177.63
     96.8137 3.26274e-06       18.32
     96.9730 2.31274e-06     -153.40
     97.1322 1.13968e-06       32.24
     97.2914 1.22699e-06     -173.06
     97.4507 1.76737e-06      -22.66
     97.6099 1.70653e-06      111.70
     97.7691 1.59103e-06      -91.99
     97.9284 1.31187e-06      115.25
     98.0876 2.59797e-06      -81.70
     98.2468 4.15356e-06       92.96
     98.4061  2.7004e-06      -82.48
     98.5653 1.58211e-06       99.12
     98.7245 2.27023e-06      -57.48
     98.8838 1.68134e-06      139.75
     99.0430 2.88696e-07      -97.70
     99.2022 1.22009e-06       14.23
