           Mode#,   Frequency(Hz),              T1,              T2,              T3,              R1,              R2,              R3,
             158,          1054.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             159,          1056.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             160,          1061.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             161,          1061.2,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             162,          1062.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             163,          1062.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             164,          1065.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             165,          1076.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             166,          1089.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             167,          1091.9,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             168,          1092.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.1,
             169,          1100.6,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             170,          1103.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             171,          1104.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             172,          1108.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             173,          1115.0,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             174,          1119.4,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             175,          1120.5,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             176,          1126.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             177,          1128.9,             0.0,             0.0,             0.1,             0.1,             0.0,             0.0,
             178,          1134.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             179,          1145.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             180,          1146.8,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             181,          1147.3,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             182,          1157.6,             0.1,             0.0,             0.0,             0.0,             0.0,             0.0,
             183,          1163.7,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
             184,          1164.1,             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,
